                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                 1.8148,                 1.6545,                      0,                 1.7779,                 1.9731,                      0,                0.30639,                0.41742,                0.27092,                0.11939,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014067,              0.0014067,              0.0014067
                     29,                 1.8492,                 1.6052,                      0,                 1.8859,                 1.9483,                      0,                0.30144,                0.36026,                0.28265,                0.11552,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013875,              0.0013875,              0.0013875
                     30,                 1.8653,                 1.6665,                      0,                 1.8534,                 1.9718,                      0,                0.28703,                0.33551,                0.25565,                0.10221,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013678,              0.0013678,              0.0013678
                     31,                 1.8675,                 1.5638,                      0,                 1.9087,                 1.8983,                      0,                0.34521,                0.28978,                0.22024,                0.09394,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013476,              0.0013476,              0.0013476
                     32,                 1.8818,                 1.6747,                      0,                 1.9031,                 1.9399,                      0,                0.38306,                 0.3416,                  0.293,                0.12803,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013269,              0.0013269,              0.0013269
                     33,                 1.8453,                  1.654,                      0,                 1.9451,                  1.972,                      0,                0.36499,                0.36403,                0.32658,                0.14572,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013056,              0.0013056,              0.0013056
                     34,                 1.7109,                 1.5313,                      0,                 1.8015,                 1.8478,                      0,                0.34668,                0.42753,                0.36035,                0.15315,                      0,                      0,                      0,                      0,                      0,                      0,               0.001284,               0.001284,               0.001284
                     35,                 1.6236,                 1.4643,                      0,                 1.7359,                 1.7535,                      0,                0.34559,                0.41182,                0.30567,                 0.1291,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012619,              0.0012619,              0.0012619
                     36,                 1.6384,                 1.4741,                      0,                 1.7753,                 1.6808,                      0,                0.41044,                0.36676,                 0.3096,                0.14179,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012394,              0.0012394,              0.0012394
                     37,                  1.663,                 1.7004,                      0,                 1.6318,                 1.7365,                      0,                0.34071,                0.36317,                0.30563,                0.13893,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012165,              0.0012165,              0.0012165
