epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1661.5,0.33566,0.88668,0.18716,0.45919,0.46423,0.45648,0.28249,0.37846,0.95795,0.23044,0.00107205,0.00107205,0.00107205
43,1700.89,0.32683,0.88111,0.19654,0.4064,0.49634,0.44793,0.28119,0.36154,1.00816,0.20436,0.00104705,0.00104705,0.00104705
44,1740.38,0.34463,0.89486,0.19728,0.40134,0.58572,0.43891,0.25825,0.35424,1.09652,0.19337,0.00102184,0.00102184,0.00102184
45,1779.74,0.30815,0.94111,0.1618,0.44561,0.46595,0.44895,0.27723,0.34072,0.98296,0.18851,0.000996456,0.000996456,0.000996456
46,1819.64,0.31209,0.86187,0.16917,0.4944,0.53949,0.45327,0.27446,0.33903,1.03067,0.19511,0.000970919,0.000970919,0.000970919
47,1860.53,0.30752,0.82956,0.16322,0.49585,0.51706,0.47656,0.29914,0.35095,0.97931,0.19705,0.000945256,0.000945256,0.000945256
48,1900.07,0.31343,0.8164,0.17443,0.4515,0.52064,0.4555,0.25974,0.38392,0.94014,0.21766,0.00091949,0.00091949,0.00091949
49,1939.48,0.30087,0.79054,0.14855,0.4328,0.48148,0.44063,0.26584,0.4003,0.92414,0.26549,0.000893648,0.000893648,0.000893648
50,1978.93,0.3347,0.78601,0.18955,0.39364,0.53849,0.43692,0.26251,0.3918,0.99465,0.22665,0.000867754,0.000867754,0.000867754
51,2018.3,0.31329,0.78333,0.17012,0.43816,0.47606,0.41516,0.24866,0.34191,1.04117,0.19281,0.000841835,0.000841835,0.000841835
52,2057.98,0.32118,0.80083,0.16999,0.38525,0.50466,0.42437,0.25695,0.35541,0.95074,0.20061,0.000815916,0.000815916,0.000815916
53,2097.5,0.31335,0.81507,0.16681,0.40348,0.52169,0.43403,0.25519,0.35355,0.92093,0.19355,0.000790022,0.000790022,0.000790022
54,2136.79,0.29455,0.73084,0.15652,0.46806,0.46452,0.42929,0.25376,0.35962,1.03175,0.21202,0.00076418,0.00076418,0.00076418
55,2176.21,0.30989,0.77689,0.17586,0.48897,0.41686,0.44159,0.25531,0.36748,0.96311,0.22815,0.000738414,0.000738414,0.000738414
56,2215.58,0.33789,0.72289,0.18581,0.456,0.48158,0.44642,0.26447,0.3767,0.92793,0.26297,0.000712751,0.000712751,0.000712751
57,2254.95,0.32353,0.71246,0.18392,0.47538,0.51097,0.46745,0.27505,0.36845,0.91657,0.23782,0.000687214,0.000687214,0.000687214
58,2294.33,0.31301,0.71821,0.18523,0.51576,0.50824,0.47013,0.27837,0.39707,0.89906,0.24835,0.000661831,0.000661831,0.000661831
59,2333.82,0.29868,0.69518,0.16649,0.4643,0.55275,0.46281,0.27391,0.377,0.94572,0.23182,0.000636625,0.000636625,0.000636625
60,2373.32,0.30267,0.70868,0.17595,0.46057,0.52982,0.45429,0.27108,0.41484,0.88084,0.27162,0.000611621,0.000611621,0.000611621
61,2412.82,0.30688,0.69925,0.17304,0.47056,0.549,0.4575,0.27714,0.38955,0.88986,0.25174,0.000586845,0.000586845,0.000586845
62,2452.7,0.31064,0.6722,0.17687,0.41401,0.5468,0.4223,0.26565,0.35452,0.9291,0.19804,0.00056232,0.00056232,0.00056232
63,2492,0.30628,0.66274,0.16189,0.46759,0.46087,0.44215,0.27023,0.42128,0.89889,0.27848,0.000538072,0.000538072,0.000538072
64,2531.31,0.30099,0.69687,0.16839,0.39916,0.56243,0.44055,0.25969,0.37705,1.01138,0.23999,0.000514122,0.000514122,0.000514122
65,2570.68,0.28698,0.71705,0.1639,0.51823,0.38374,0.44221,0.26871,0.38017,0.99588,0.24255,0.000490497,0.000490497,0.000490497
66,2610.02,0.29914,0.71645,0.16259,0.38965,0.55265,0.40567,0.23924,0.34955,0.96293,0.2113,0.000467218,0.000467218,0.000467218
67,2649.35,0.27568,0.67179,0.13733,0.50265,0.50186,0.45431,0.26658,0.3601,0.95857,0.22291,0.000444309,0.000444309,0.000444309
68,2688.6,0.30642,0.62751,0.18829,0.48294,0.48152,0.47404,0.29334,0.3924,0.9477,0.26851,0.000421792,0.000421792,0.000421792
69,2727.96,0.2731,0.59719,0.15101,0.47924,0.49262,0.45628,0.28354,0.38238,0.98417,0.25598,0.000399689,0.000399689,0.000399689
70,2767.38,0.29552,0.62055,0.16249,0.53192,0.45133,0.47922,0.27989,0.37541,1.00216,0.24685,0.000378023,0.000378023,0.000378023
71,2806.86,0.27278,0.56189,0.14939,0.44056,0.54308,0.49028,0.29993,0.37192,0.96878,0.23259,0.000356815,0.000356815,0.000356815
72,2846.6,0.25867,0.5605,0.13684,0.52203,0.49452,0.49398,0.3011,0.3752,0.95433,0.24857,0.000336086,0.000336086,0.000336086
73,2886.19,0.26364,0.56479,0.13895,0.47719,0.52745,0.46621,0.28612,0.38048,0.96178,0.23893,0.000315855,0.000315855,0.000315855
74,2925.47,0.2742,0.59224,0.16055,0.53457,0.45499,0.46912,0.27186,0.38211,0.9736,0.26814,0.000296144,0.000296144,0.000296144
75,2964.77,0.27572,0.55973,0.15792,0.47945,0.44116,0.46296,0.28473,0.4034,0.94174,0.2711,0.000276971,0.000276971,0.000276971
76,3004.26,0.29048,0.53639,0.16147,0.39633,0.57197,0.46676,0.28356,0.38677,0.90797,0.26353,0.000258355,0.000258355,0.000258355
77,3043.84,0.27471,0.57418,0.14966,0.56433,0.47377,0.49072,0.29626,0.38477,0.90038,0.23975,0.000240316,0.000240316,0.000240316
78,3083.32,0.26593,0.56375,0.13863,0.548,0.44672,0.47842,0.29083,0.3809,0.95805,0.22173,0.00022287,0.00022287,0.00022287
79,3122.73,0.26339,0.56055,0.1312,0.57295,0.44116,0.49644,0.29901,0.39023,0.92825,0.23126,0.000206034,0.000206034,0.000206034
80,3162.12,0.27987,0.49954,0.14355,0.54082,0.44828,0.47895,0.29231,0.39187,0.9392,0.2634,0.000189827,0.000189827,0.000189827
81,3201.5,0.29683,0.55408,0.16921,0.55151,0.44574,0.48086,0.29572,0.42548,0.93936,0.29879,0.000174262,0.000174262,0.000174262
82,3240.94,0.27471,0.50927,0.15601,0.41101,0.54134,0.4746,0.29775,0.36909,0.98551,0.24702,0.000159357,0.000159357,0.000159357
83,3280.18,0.27907,0.50265,0.16008,0.45802,0.49601,0.46519,0.28715,0.38282,0.96062,0.26056,0.000145125,0.000145125,0.000145125
84,3319.64,0.29031,0.5276,0.14677,0.45077,0.48753,0.47433,0.29419,0.39066,0.94192,0.26604,0.000131581,0.000131581,0.000131581
85,3358.94,0.28056,0.4734,0.14551,0.44389,0.53204,0.44667,0.27489,0.39689,0.99261,0.24806,0.000118737,0.000118737,0.000118737
86,3398.29,0.25055,0.51324,0.1294,0.43358,0.57841,0.45717,0.27749,0.40791,0.95812,0.28579,0.000106608,0.000106608,0.000106608
87,3437.73,0.23893,0.51493,0.12255,0.43276,0.55948,0.4868,0.29885,0.41514,0.93914,0.29326,9.52034e-05,9.52034e-05,9.52034e-05
88,3477.26,0.26339,0.47468,0.13446,0.45858,0.53779,0.48709,0.29435,0.42966,0.93918,0.2864,8.4536e-05,8.4536e-05,8.4536e-05
89,3516.68,0.26909,0.52453,0.14381,0.4639,0.54716,0.47521,0.28959,0.44816,0.92442,0.32052,7.4616e-05,7.4616e-05,7.4616e-05
90,3555.91,0.25511,0.47729,0.13043,0.50293,0.51828,0.50073,0.30299,0.4246,0.935,0.28813,6.54531e-05,6.54531e-05,6.54531e-05
91,3595.15,0.20776,0.40707,0.10647,0.52783,0.5053,0.49107,0.29997,0.40309,0.92775,0.29043,5.70564e-05,5.70564e-05,5.70564e-05
92,3634.48,0.20795,0.39906,0.11008,0.50332,0.49534,0.49716,0.30153,0.39504,0.97068,0.3,4.94343e-05,4.94343e-05,4.94343e-05
93,3673.71,0.20439,0.43104,0.10193,0.53204,0.48006,0.49372,0.3005,0.39638,0.97941,0.28981,4.25941e-05,4.25941e-05,4.25941e-05
94,3712.98,0.2061,0.40498,0.1033,0.51685,0.46273,0.49142,0.29955,0.39835,1.00256,0.2886,3.65426e-05,3.65426e-05,3.65426e-05
95,3752.28,0.21408,0.41051,0.11063,0.4665,0.51828,0.48395,0.29971,0.40731,0.99444,0.29694,3.12859e-05,3.12859e-05,3.12859e-05
96,3791.54,0.21087,0.4285,0.11929,0.49865,0.47832,0.48602,0.29423,0.41881,0.97006,0.31915,2.68292e-05,2.68292e-05,2.68292e-05
97,3830.63,0.19507,0.41558,0.10452,0.54621,0.46232,0.47674,0.29732,0.40723,0.97903,0.31404,2.31767e-05,2.31767e-05,2.31767e-05
98,3869.79,0.22977,0.42154,0.12119,0.45936,0.5339,0.4661,0.2837,0.40674,0.9939,0.30704,2.03321e-05,2.03321e-05,2.03321e-05
99,3908.84,0.20649,0.41633,0.10546,0.45182,0.56371,0.48414,0.29541,0.40869,0.96335,0.30959,1.82983e-05,1.82983e-05,1.82983e-05
100,3947.98,0.20519,0.39441,0.10129,0.48545,0.5408,0.48434,0.2948,0.39995,0.97983,0.30022,1.70772e-05,1.70772e-05,1.70772e-05
