epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1986.44,0.92677,0.84418,1.10234,0.54377,0.54802,0.52663,0.31625,1.52738,1.70325,1.49088,0.00107205,0.00107205,0.00107205
43,2033.67,0.92496,0.88139,1.12734,0.66774,0.49959,0.58895,0.3587,1.53534,1.61658,1.5161,0.00104705,0.00104705,0.00104705
44,2080.78,0.90161,0.85787,1.08469,0.50582,0.60884,0.60228,0.36075,1.55806,1.6935,1.56511,0.00102184,0.00102184,0.00102184
45,2127.99,0.93769,0.83564,1.10617,0.49448,0.5309,0.48486,0.27318,1.74711,2.00199,1.68219,0.000996456,0.000996456,0.000996456
46,2174.98,0.88795,0.82442,1.08275,0.56944,0.54336,0.51441,0.29205,1.58816,1.77685,1.60248,0.000970919,0.000970919,0.000970919
47,2221.87,0.90792,0.82287,1.09545,0.51097,0.57113,0.55764,0.31506,1.57599,1.68082,1.56173,0.000945256,0.000945256,0.000945256
48,2268.33,0.87347,0.80557,1.11411,0.58334,0.61085,0.62948,0.38653,1.45668,1.54783,1.45639,0.00091949,0.00091949,0.00091949
49,2314.83,0.90142,0.85167,1.07755,0.67823,0.63672,0.63764,0.39382,1.50738,1.49021,1.45632,0.000893648,0.000893648,0.000893648
50,2361.43,0.9035,0.89133,1.10643,0.53777,0.57526,0.60634,0.37439,1.49804,1.70744,1.49074,0.000867754,0.000867754,0.000867754
51,2407.97,0.88819,0.79823,1.09088,0.58615,0.64646,0.62233,0.36725,1.48802,1.49375,1.50577,0.000841835,0.000841835,0.000841835
52,2454.94,0.86775,0.78861,1.09944,0.59578,0.58737,0.59772,0.35007,1.5341,1.48908,1.57298,0.000815916,0.000815916,0.000815916
53,2501.64,0.92329,0.88128,1.10164,0.56206,0.5204,0.55927,0.31455,1.58496,1.70877,1.59441,0.000790022,0.000790022,0.000790022
54,2548.43,0.8405,0.75562,1.05903,0.60225,0.54478,0.59804,0.34457,1.50087,1.61996,1.52557,0.00076418,0.00076418,0.00076418
55,2594.85,0.82817,0.72703,1.04695,0.6447,0.62273,0.66699,0.40618,1.44213,1.50171,1.4849,0.000738414,0.000738414,0.000738414
