epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2068.1,2.37162,2.93855,2.36998,0.56436,0.11719,0.08039,0.02182,2.32697,2.96264,2.40133,0.00104705,0.00104705,0.00104705
44,2117.71,2.4111,3.01924,2.44254,0.03269,0.69646,0.06116,0.01641,2.34736,2.95574,2.45694,0.00102184,0.00102184,0.00102184
45,2167.16,2.37944,3.07071,2.3972,0.04654,0.51641,0.05203,0.0137,2.34322,2.93478,2.43024,0.000996456,0.000996456,0.000996456
46,2216.6,2.38773,3.01566,2.33513,0.01517,0.80806,0.05192,0.01279,2.35124,2.93928,2.42245,0.000970919,0.000970919,0.000970919
47,2266.12,2.39377,2.92459,2.33723,0.01578,0.8636,0.04831,0.01374,2.29684,2.9481,2.35887,0.000945256,0.000945256,0.000945256
48,2315.63,2.3755,2.94923,2.34921,0.05413,0.54989,0.0677,0.0189,2.30731,2.91434,2.37158,0.00091949,0.00091949,0.00091949
49,2365.13,2.29145,2.86421,2.34006,0.07421,0.38611,0.09043,0.02615,2.28965,2.84412,2.33974,0.000893648,0.000893648,0.000893648
50,2415.1,2.40258,2.8858,2.37932,0.09372,0.35436,0.07632,0.02311,2.30151,2.82211,2.36115,0.000867754,0.000867754,0.000867754
51,2464.56,2.36253,2.83601,2.33204,0.07918,0.18055,0.0617,0.01707,2.32719,2.8698,2.33793,0.000841835,0.000841835,0.000841835
52,2514.53,2.35047,2.86105,2.34733,0.18668,0.16342,0.11695,0.03653,2.24987,2.74624,2.32572,0.000815916,0.000815916,0.000815916
53,2564.62,2.35157,2.81784,2.36699,0.14314,0.17794,0.09443,0.02982,2.2597,2.81746,2.32376,0.000790022,0.000790022,0.000790022
54,2614.03,2.26322,2.83078,2.27293,0.11679,0.17854,0.09361,0.02681,2.28177,2.77309,2.33066,0.00076418,0.00076418,0.00076418
55,2663.63,2.31176,2.76359,2.32887,0.19951,0.15969,0.10362,0.02923,2.29349,2.76181,2.35238,0.000738414,0.000738414,0.000738414
56,2713.16,2.24479,2.82361,2.34027,0.17905,0.19703,0.12111,0.0383,2.21495,2.71076,2.31009,0.000712751,0.000712751,0.000712751
57,2762.97,2.25693,2.77666,2.26922,0.1529,0.24699,0.12548,0.03957,2.18816,2.71761,2.29437,0.000687214,0.000687214,0.000687214
58,2812.79,2.26469,2.77541,2.29646,0.0627,0.18212,0.08114,0.02551,2.19517,2.78321,2.32021,0.000661831,0.000661831,0.000661831
59,2862.3,2.20541,2.72712,2.19563,0.15209,0.18177,0.1075,0.03417,2.15876,2.71753,2.28966,0.000636625,0.000636625,0.000636625
60,2911.85,2.18232,2.73794,2.2413,0.15736,0.23868,0.12012,0.03702,2.20534,2.72598,2.32704,0.000611621,0.000611621,0.000611621
61,2961.49,2.21143,2.78584,2.25286,0.12506,0.29573,0.10739,0.0387,2.14367,2.71182,2.27739,0.000586845,0.000586845,0.000586845
62,3011.38,2.19108,2.79057,2.25116,0.15219,0.24124,0.10166,0.03598,2.14625,2.66681,2.28895,0.00056232,0.00056232,0.00056232
63,3060.88,2.15026,2.63802,2.19382,0.09794,0.39665,0.09365,0.03207,2.15601,2.69106,2.29833,0.000538072,0.000538072,0.000538072
64,3110.27,2.13107,2.6936,2.23029,0.11344,0.23918,0.092,0.0318,2.12213,2.66649,2.28951,0.000514122,0.000514122,0.000514122
65,3159.78,2.14055,2.64404,2.21123,0.16959,0.30576,0.11991,0.04026,2.08776,2.70261,2.26141,0.000490497,0.000490497,0.000490497
66,3209.61,2.11144,2.68752,2.18313,0.16604,0.26362,0.1191,0.04013,2.05768,2.71872,2.23234,0.000467218,0.000467218,0.000467218
67,3259.03,2.13343,2.6143,2.18365,0.15511,0.2113,0.11174,0.03903,2.06409,2.66407,2.22243,0.000444309,0.000444309,0.000444309
68,3308.36,2.11608,2.65429,2.169,0.12045,0.22814,0.09746,0.03326,2.03515,2.67909,2.2178,0.000421792,0.000421792,0.000421792
69,3357.8,2.10126,2.63453,2.12955,0.13479,0.25208,0.10359,0.03471,2.04065,2.63458,2.20955,0.000399689,0.000399689,0.000399689
70,3407.28,2.0991,2.60723,2.14065,0.12458,0.27688,0.1119,0.03797,2.07047,2.62027,2.21903,0.000378023,0.000378023,0.000378023
71,3456.81,2.04813,2.6813,2.13895,0.14152,0.27552,0.12337,0.04349,2.05905,2.60355,2.20217,0.000356815,0.000356815,0.000356815
72,3507.09,2.03992,2.64467,2.14035,0.12829,0.31121,0.10462,0.03863,2.03597,2.62741,2.16837,0.000336086,0.000336086,0.000336086
73,3556.51,2.04957,2.637,2.1035,0.12226,0.38152,0.10552,0.03592,2.10338,2.65513,2.20149,0.000315855,0.000315855,0.000315855
74,3605.91,2.11982,2.62501,2.14666,0.14788,0.28493,0.11056,0.03953,2.0709,2.62414,2.18365,0.000296144,0.000296144,0.000296144
75,3655.32,2.04824,2.61518,2.15951,0.13895,0.29351,0.12281,0.04421,2.05207,2.62316,2.18391,0.000276971,0.000276971,0.000276971
76,3705.38,2.07204,2.57983,2.18949,0.13255,0.31644,0.12328,0.04504,2.05182,2.61398,2.20225,0.000258355,0.000258355,0.000258355
77,3755.61,2.04252,2.59867,2.09664,0.13698,0.23882,0.10871,0.03905,2.05719,2.58984,2.19597,0.000240316,0.000240316,0.000240316
78,3805.2,2.03718,2.6062,2.09012,0.1547,0.25753,0.11768,0.04051,2.03568,2.63212,2.212,0.00022287,0.00022287,0.00022287
79,3854.66,2.10786,2.65471,2.13111,0.18312,0.24649,0.1158,0.0414,2.0073,2.65689,2.1932,0.000206034,0.000206034,0.000206034
80,3904.15,2.01573,2.55411,2.07516,0.15803,0.25667,0.11256,0.04335,2.00569,2.61554,2.17044,0.000189827,0.000189827,0.000189827
81,3953.65,2.031,2.57208,2.102,0.1456,0.26684,0.11953,0.04526,2.01291,2.57733,2.15983,0.000174262,0.000174262,0.000174262
82,4003.81,2.05208,2.6033,2.10833,0.16896,0.26498,0.1303,0.05095,2.00868,2.57402,2.16527,0.000159357,0.000159357,0.000159357
83,4053.63,1.99051,2.50475,2.08051,0.15328,0.25072,0.12006,0.04837,1.99878,2.59228,2.15537,0.000145125,0.000145125,0.000145125
84,4103.22,2.0304,2.51507,2.09937,0.16009,0.24104,0.1174,0.04527,2.00337,2.60904,2.16283,0.000131581,0.000131581,0.000131581
85,4152.65,2.00346,2.47304,2.09702,0.16821,0.25717,0.13211,0.04838,2.00693,2.59559,2.16078,0.000118737,0.000118737,0.000118737
